model,split,accuracy,precision,recall,f1,roc_auc
Logistic Regression,validation,0.7265040334337642,0.7557303370786517,0.6607072691552063,0.7050314465408805,0.7931620332004303
KNN,validation,0.7189231217805423,0.7333333333333333,0.6785854616895874,0.7048979591836735,0.7795979353744543
Logistic Regression,test,0.7264334305150631,0.7527765437583296,0.6656845413474759,0.7065568643802773,0.7901106195384038
